0
12
61059521
827551
 0 1 1 124 inf  17 (D 0,1,1) (S 22,1,35) (S 53,35,34) (S 18,34,34) (S 13,26,26) (S 52,26,27) (S 14,27,27) (S 41,27,28) (S 42,28,27) (S 78,28,35) (S 56,35,28) (S 58,35,36) (S 19,36,36) (S 74,36,37) (S 20,37,37) (S 33,37,38) (D 0,1,1)
 0 1 2 43 inf  9 (D 0,1,1) (S 27,1,10) (S 5,10,10) (S 51,10,9) (S 43,9,10) (S 49,9,15) (S 8,15,15) (S 23,15,16) (D 0,1,1)
 0 1 3 27 inf  5 (D 0,1,1) (S 37,1,8) (S 47,8,40) (S 21,40,40) (D 0,1,1)
 0 1 4 54 inf  10 (D 0,1,1) (S 46,1,6) (S 30,6,12) (S 7,12,12) (S 29,17,18) (S 35,18,22) (S 67,22,25) (S 12,25,25) (S 77,24,25) (D 0,1,1)
 0 1 5 38 inf  5 (D 0,1,1) (S 63,1,11) (S 6,11,11) (S 26,13,19) (D 0,1,1)
 0 1 6 75 inf  13 (D 0,1,1) (S 1,2,2) (S 44,2,3) (S 2,3,3) (S 31,3,37) (S 68,37,31) (S 16,31,31) (S 71,31,37) (S 15,30,30) (S 24,30,31) (S 17,32,32) (S 45,39,38) (D 0,1,1)
 0 1 7 38 inf  8 (D 0,1,1) (S 48,2,36) (S 55,29,36) (S 75,30,29) (S 72,39,5) (S 4,5,5) (S 76,39,32) (D 0,1,1)
 0 1 8 16 inf  6 (D 0,1,1) (S 38,6,2) (S 40,6,7) (S 34,7,13) (S 28,13,17) (D 0,1,1)
 0 1 9 24 inf  7 (D 0,1,1) (S 65,6,1) (S 57,7,6) (S 64,3,2) (S 3,4,4) (S 32,4,38) (D 0,1,1)
 0 1 10 22 inf  5 (D 0,1,1) (S 50,4,3) (S 36,13,18) (S 69,18,19) (D 0,1,1)
 0 1 11 4 inf  3 (D 0,1,1) (S 54,13,12) (D 0,1,1)
 0 1 12 8 inf  3 (D 0,1,1) (S 73,26,34) (D 0,1,1)
